DateCreated,CumulativeStations
2022-12-18T02:02:00Z,698
2022-12-18T02:06:00Z,699
2022-12-18T02:10:00Z,700
2022-12-18T02:13:00Z,701
2022-12-18T02:16:00Z,702
2022-12-18T02:20:00Z,703
2022-12-18T02:27:00Z,704
2022-12-18T02:31:00Z,705
2022-12-18T02:35:00Z,706
2022-12-18T02:42:00Z,707
2022-12-18T02:55:00Z,708
2022-12-19T04:17:00Z,709
2022-12-19T04:18:00Z,710
2022-12-19T04:19:00Z,711
2022-12-19T22:27:00Z,712
2022-12-19T22:31:00Z,713
2022-12-19T22:37:00Z,714
2022-12-21T01:53:00Z,715
2022-12-21T06:03:00Z,716
2022-12-21T06:20:00Z,717
2022-12-21T06:39:00Z,718
2022-12-21T06:48:00Z,719
2022-12-21T06:54:00Z,720
2022-12-21T06:57:00Z,721
2022-12-21T07:04:00Z,722
2022-12-21T07:07:00Z,723
2022-12-21T07:09:00Z,724
2022-12-22T06:06:00Z,725
2022-12-22T22:01:00Z,726
2022-12-22T22:04:00Z,727
2022-12-22T22:09:00Z,728
2022-12-22T22:12:00Z,729
2022-12-22T22:17:00Z,730
2022-12-22T22:21:00Z,731
2022-12-22T22:28:00Z,732
2022-12-22T22:39:00Z,733
2022-12-22T22:55:00Z,734
2022-12-22T23:05:00Z,735
2022-12-22T23:11:00Z,736
2022-12-22T23:15:00Z,737
2022-12-22T23:23:00Z,738
2022-12-22T23:26:00Z,739
2022-12-22T23:46:00Z,740
2022-12-23T01:32:00Z,741
2022-12-23T01:42:00Z,742
2022-12-23T20:28:00Z,743
2022-12-23T20:32:00Z,744
2022-12-23T20:39:00Z,745
2022-12-23T20:42:00Z,746
2022-12-23T20:52:00Z,747
2022-12-23T21:05:00Z,748
2022-12-23T21:20:00Z,749
2022-12-23T21:23:00Z,750
2022-12-24T01:20:00Z,751
2022-12-24T21:04:00Z,752
2022-12-24T21:13:00Z,753
2022-12-29T09:23:00Z,754
2023-01-22T03:35:00Z,755
2023-02-03T23:23:00Z,756
2023-02-04T03:39:00Z,757
2023-02-05T01:00:00Z,758
2023-02-08T15:46:00Z,759
2023-02-14T01:48:00Z,760
2023-02-18T08:33:00Z,761
2023-02-20T16:07:00Z,762
2023-02-20T16:14:00Z,763
2023-02-20T16:38:00Z,764
2023-02-20T17:04:00Z,765
2023-02-20T17:20:00Z,766
2023-03-01T23:46:00Z,767
2023-03-01T23:49:00Z,768
2023-03-01T23:52:00Z,769
2023-03-05T04:56:00Z,770
2023-03-18T14:30:00Z,771
2023-03-22T23:26:00Z,772
2023-03-23T02:53:00Z,773
2023-04-05T20:30:00Z,774
2023-04-08T05:30:00Z,775
2023-04-08T05:37:00Z,776
2023-04-08T05:43:00Z,777
2023-04-10T12:04:00Z,778
2023-04-12T01:24:00Z,779
2023-04-14T01:06:00Z,780
2023-04-18T04:06:00Z,781
2023-04-18T08:08:00Z,782
2023-04-22T23:12:00Z,783
2023-04-24T08:39:00Z,784
2023-04-26T10:34:00Z,785
2023-04-29T20:43:00Z,786
2023-05-05T23:35:00Z,787
2023-05-09T08:45:00Z,788
2023-05-16T23:59:00Z,789
2023-05-26T13:09:00Z,790
2023-05-30T11:51:00Z,791
2023-06-01T08:07:00Z,792
2023-06-04T14:58:00Z,793
2023-06-05T10:18:00Z,794
2023-06-05T10:52:00Z,795
2023-06-05T11:00:00Z,796
2023-06-06T11:16:00Z,797
2023-06-06T11:34:00Z,798
2023-06-07T14:13:00Z,799
2023-06-08T12:43:00Z,800
2023-06-14T11:33:00Z,801
2023-06-18T08:34:00Z,802
2023-06-21T07:01:00Z,803
2023-06-21T07:32:00Z,804
2023-06-26T03:16:00Z,805
