N,X,Y
BP KUNUNURRA SHOP FRONT,128.765098,-15.797353
INDEPENDENT WUBIN,116.630854,-30.10547
AMPOL NORTHCLIFFE,116.123718,-34.633839
BP EDGEWATER,115.773396,-31.763449
CALTEX OSBORNE PARK,115.828517,-31.913652
WOOLWORTHS CALTEX PORT HEDLAND,118.607798,-20.311953
BP WESTGATE,115.753092,-32.045461
GREAT SOUTHERN FUEL SUPPLY,117.888804,-34.954252
CALTEX BUNBURY,115.641425,-33.336715
COLES EXPRESS SOUTHERN RIVER,115.935304,-32.103898
SHELL SERVICE SPEARWOOD,115.803926,-32.104418
BP HALLS CREEK,127.671599,-18.224697
AMPOL FOODARY HIGH WYCOMBE,115.987387,-31.951585
BP PORT KENNEDY,115.763127,-32.371178
CALTEX SCARBOROUGH,115.764511,-31.893899
INDEPENDENT VIA CARNARVON,115.500791,-22.543065
7-ELEVEN MIDLAND,116.013058,-31.897079
NANNUP ,115.76479,-33.981833
BP SOUTH BUNBURY,115.640746,-33.345365
CALTEX BINDOON,116.095649,-31.385507
LIBERTY CALISTA,115.808019,-32.248776
WOOLWORTHS CALTEX BROOKS GARDEN ALBANY,117.876343,-34.988578
CALTEX WOOLWORTHS CARINE,115.795453,-31.846344
BP CONNECT BEAUMAURIS,115.740438,-31.752511
7-ELEVEN BANKSIA GROVE,115.804315,-31.703423
BP BALDIVIS WEST,115.796699,-32.309663
BP BALLADONIA,123.617048,-32.352241
MUKINBUDIN ,118.2029667,-30.91357117
INDEPENDENT LEEMAN,114.982175,-29.944732
CALTEX KARRATHA,116.809089,-20.744012
BP DENMARK,117.353436,-34.9604
WOOLWORTHS CALTEX MADELEY,115.825818,-31.819185
BP PEPPERMINT GROVE,115.763381,-31.996866
AMPOL ROCKY GULLY,117.01183,-34.509629
WOOLWORTHS CALTEX CANNINGTON,115.934931,-32.017526
BETTER CHOICE NAVAL BASE,115.784712,-32.206745
BP CRYSTAL BROOK,116.035296,-32.012061
COLES EXPRESS PERTH,115.86411,-31.940867
KATANNING ROADHOUSE,117.560339,-33.701022
BP LAKE KING,119.688599,-33.085425
PEMBERTON GARAGE,116.036973,-34.443654
COLES EXPRESS WAIKIKI,115.753332,-32.314998
BP CONNECT NORTH PERTH,115.851906,-31.926758
KALANNIE ,117.120177,-30.365947
PUMA LYNWOOD,115.927034,-32.035639
MOBIL WYNDHAM,128.116486,-15.484292
7-ELEVEN MIDVALE,116.032753,-31.885552
WOOLWORTHS CALTEX CANNING VALE,115.925586,-32.072953
BP PORT HEDLAND TRUCKSTOP,118.634335,-20.375301
GULL MANJIMUP,116.142098,-34.248998
BP GOLDEN GATE,121.465866,-30.752921
CANNING VALE,115.930856,-32.059559
CARRABIN ROADHOUSE,118.677994,-31.378374
CALTEX WYALKATCHEM,117.376744,-31.180451
COLES EXPRESS OSBORNE PARK,115.819092,-31.907535
COLES EXPRESS BULLCREEK,115.8579,-32.063403
CALTEX BALDIVIS,115.820897,-32.330873
COLES EXPRESS BEELIAR,115.798736,-32.128112
CALTEX JURIEN BAY,115.04212,-30.302754
COLES EXPRESS KINGSLEY,115.805766,-31.819744
AMPOL THREE SPRINGS,115.761258,-29.533113
UNITED MADDINGTON,115.99131,-32.042356
BP BRUCE ROCK,118.149349,-31.874462
SHELL ENEABBA ROADHOUSE,115.266162,-29.819954
CALTEX HARVEY,115.905335,-33.082526
CALTEX MUNDARING,116.152074,-31.900612
CORRIGIN ,117.8734015,-32.33318593
COLES EXPRESS TOM PRICE,117.78565,-22.696583
PEAK,115.7732167,-32.24757418
CASTLETOWN ,121.907934,-33.837964
COLES EXPRESS WEMBLEY,115.811994,-31.94098
NORSEMAN SHELL,121.779899,-32.197409
MUCHEA ROADHOUSE & STORE,115.977787,-31.579993
MAINLINE MOTORS,115.922139,-32.845553
BP KAMBALDA EAST,121.651515,-31.19856
CALTEX ALBANY,117.883025,-35.02183
CALTEX NEDLANDS,115.813626,-31.977663
AMPOL FOODARY YANCHEP,115.639632,-31.552063
CALTEX WOOLWORTHS MIDVALE,116.031107,-31.894586
VIBE CHARLES ST,115.850264,-31.922312
SHELL MERREDIN ROADHOUSE,118.29097,-31.484672
CALTEX CANNING VALE,115.908929,-32.082218
CALTEX GLEN FORREST,116.104698,-31.903435
CALTEX WILLIAMS,116.878092,-33.023397
CALTEX PERENJORI,116.277913,-29.434288
CALTEX WOOLWORTHS MELVILLE,115.815272,-32.031329
UNITED KEWDALE,115.939258,-31.990047
BP MOUNT MAGNET,117.84903,-28.065616
SHELL GATEWAY,115.685129,-33.334809
COLES EXPRESS KUNUNURRA ROADHOUSE,128.732015,-15.780652
7-ELEVEN BOORAGOON,115.822893,-32.039537
CALTEX GERALDTON,114.6224,-28.741459
MYAREE,115.8126276,-32.04623485
PUMA MUNSTER,115.784194,-32.122463
BP HALLS HEAD,115.701463,-32.550485
BP ALLWAY MOTORS,117.8818654,-35.02054188
COLES EXPRESS LEEMING,115.858292,-32.079185
BP BOYUP BROOK,116.384016,-33.828974
WOOLWORTHS CALTEX CURRAMBINE,115.740361,-31.742192
AMPOL FOODARY LIVINGSTON,115.916536,-32.087082
WOOLWORTHS CALTEX BALLAJURA,115.907042,-31.847595
WOOLWORTHS CALTEX MORLEY,115.895081,-31.896296
BP WAIKIKI,115.732459,-32.309991
BP BRIDGETOWN ROADHOUSE,116.135364,-33.963152
WOOLWORTHS CALTEX HILLARYS,115.745626,-31.796644
HERNE HILL GENERAL STORE,116.016716,-31.825036
WOOLWORTHS CALTEX MANDURAH,115.74086,-32.509545
GIDGEGANNUP GENERAL STORE,116.193175,-31.794422
SHELL BUNBURY CENTRAL,115.646738,-33.335951
SHELL ALKIMOS,115.69118,-31.628239
SANDFIRE ROADHOUSE,121.091373,-19.768829
INDEPENDENT YALGOO,116.682873,-28.346681
ROLEYSTONE,116.0709288,-32.11248898
7-ELEVEN QUEENS PARK,115.946773,-31.997151
COLES EXPRESS WILLETTON,115.893925,-32.039076
7-ELEVEN BALCATTA,115.80964,-31.860353
PUMA GUILDFORD,115.969087,-31.901203
7-ELEVEN WANNEROO SOUTH,115.804474,-31.754313
NIGHTOWL SHELL REDCLIFFE,115.945947,-31.929508
UNITED ARMADALE,116.0176,-32.161492
CALTEX MEEKATHARRA,118.493361,-26.596293
NEWDEGATE ROADHOUSE,119.02384,-33.092791
GERALDTON FUEL,116.6652924,-30.27339459
CALTEX WOOLWORTHS BEECHBORO,115.945106,-31.871196
COLES EXPRESS SOUTH PERTH,115.882016,-31.974606
AMPOL TOODYAY,116.464466,-31.550466
BP MANJIMUP,116.148208,-34.238729
COLES EXPRESS GOLDEN BAY,115.774671,-32.427352
MEEKATHARRA CORNER STORE,118.496625,-26.591405
CALTEX GOSNELLS NORTH,115.999561,-32.064115
BP FORTESCUE,117.835611,-20.840033
BP CONNECT MAIN STREET,115.82867,-31.896287
COLES EXPRESS MOUNT PLEASANT,115.850035,-32.012609
COLES EXPRESS SOUTH HEDLAND ROADHOUSE,118.607272,-20.373686
